DATE,CPI
1977/9/1,0.326797386
1977/10/1,0.325732899
1977/11/1,0.487012987
1977/12/1,0.323101777
1978/1/1,0.644122383
1978/2/1,0.64
1978/3/1,0.79491256
1978/4/1,0.788643533
1978/5/1,0.938967136
1978/6/1,1.085271318
1978/7/1,0.766871166
1978/8/1,0.456621005
1978/9/1,0.757575758
1978/10/1,0.902255639
1978/11/1,0.44709389
1978/12/1,0.445103858
1979/1/1,0.886262925
1979/2/1,1.171303075
1979/3/1,1.013024602
1979/4/1,1.146131805
1979/5/1,1.274787535
1979/6/1,1.118881119
1979/7/1,1.106500692
1979/8/1,0.957592339
1979/9/1,1.08401084
1979/10/1,0.804289544
1979/11/1,0.930851064
1979/12/1,1.054018445
1980/1/1,1.434159061
1980/2/1,1.413881748
1980/3/1,1.520912548
1980/4/1,1.123595506
1980/5/1,0.987654321
1980/6/1,1.100244499
1980/7/1,0
1980/8/1,0.725513906
1980/9/1,0.840336134
1980/10/1,0.952380952
1980/11/1,0.825471698
1980/12/1,0.935672515
1981/1/1,0.811123986
1981/2/1,1.034482759
1981/3/1,0.682593857
1981/4/1,0.677966102
1981/5/1,0.785634119
1981/6/1,0.890868597
1981/7/1,1.103752759
1981/8/1,0.76419214
1981/9/1,0.975081257
1981/10/1,0.214592275
1981/11/1,0.321199143
1981/12/1,0.320170758
1982/1/1,0.319148936
1982/2/1,0.318133616
1982/3/1,-0.105708245
1982/4/1,0.423280423
1982/5/1,0.948366702
1982/6/1,1.252609603
1982/7/1,0.515463918
1982/8/1,0.205128205
1982/9/1,0.204708291
1982/10/1,0.306435138
1982/11/1,-0.203665988
1982/12/1,-0.408163265
1983/1/1,0.204918033
1983/2/1,0.102249489
1983/3/1,0
1983/4/1,0.715015322
1983/5/1,0.60851927
1983/6/1,0.302419355
1983/7/1,0.40201005
1983/8/1,0.3003003
1983/9/1,0.499001996
1983/10/1,0.297914598
1983/11/1,0.198019802
1983/12/1,0.098814229
1984/1/1,0.592300099
1984/2/1,0.490677134
1984/3/1,0.1953125
1984/4/1,0.487329435
1984/5/1,0.290979631
1984/6/1,0.290135397
1984/7/1,0.385728062
1984/8/1,0.384245917
1984/9/1,0.4784689
1984/10/1,0.285714286
1984/11/1,0
1984/12/1,0
1985/1/1,0.189933523
1985/2/1,0.473933649
1985/3/1,0.377358491
1985/4/1,0.469924812
1985/5/1,0.374181478
1985/6/1,0.279589935
1985/7/1,0.185873606
1985/8/1,0.185528757
1985/9/1,0.277777778
