DATE,INDPRO
1938/7/1,6.0213
1938/8/1,6.3439
1938/9/1,6.532
1938/10/1,6.6933
1938/11/1,6.9621
1938/12/1,7.0428
1939/1/1,7.0428
1939/2/1,7.0965
1939/3/1,7.1234
1939/4/1,7.0965
1939/5/1,7.0696
1939/6/1,7.2309
1939/7/1,7.446
1939/8/1,7.5535
1939/9/1,8.0105
1939/10/1,8.4137
1939/11/1,8.6287
1939/12/1,8.6287
1940/1/1,8.5212
1940/2/1,8.2524
1940/3/1,8.0642
1940/4/1,8.2255
1940/5/1,8.4674
1940/6/1,8.7362
1940/7/1,8.8438
1940/8/1,8.8975
1940/9/1,9.0857
1940/10/1,9.2201
1940/11/1,9.4351
1940/12/1,9.7577
1941/1/1,9.9996
1941/2/1,10.2953
1941/3/1,10.6179
1941/4/1,10.6448
1941/5/1,11.1286
1941/6/1,11.2093
1941/7/1,11.3437
1941/8/1,11.4781
1941/9/1,11.4781
1941/10/1,11.5856
1941/11/1,11.6394
1941/12/1,11.8275
1942/1/1,12.0695
1942/2/1,12.2845
1942/3/1,12.4189
1942/4/1,12.0695
1942/5/1,12.0963
1942/6/1,12.1232
1942/7/1,12.4189
1942/8/1,12.7952
1942/9/1,13.0909
1942/10/1,13.521
1942/11/1,13.8436
1942/12/1,14.1662
1943/1/1,14.3006
1943/2/1,14.6769
1943/3/1,14.7844
1943/4/1,14.9726
1943/5/1,15.0801
1943/6/1,14.9995
1943/7/1,15.4564
1943/8/1,15.779
1943/9/1,16.1822
1943/10/1,16.4241
1943/11/1,16.6392
1943/12/1,16.4241
1944/1/1,16.6123
1944/2/1,16.7467
1944/3/1,16.7198
1944/4/1,16.7198
1944/5/1,16.6123
1944/6/1,16.5585
1944/7/1,16.5317
1944/8/1,16.7467
1944/9/1,16.6392
1944/10/1,16.693
1944/11/1,16.5585
1944/12/1,16.5048
1945/1/1,16.3435
1945/2/1,16.2897
1945/3/1,16.1822
1945/4/1,15.8865
1945/5/1,15.4564
1945/6/1,15.107
1945/7/1,14.7576
1945/8/1,13.2253
1945/9/1,12.0426
1945/10/1,11.5587
1945/11/1,11.9888
1945/12/1,12.0426
1946/1/1,11.3706
1946/2/1,10.8061
1946/3/1,11.9351
1946/4/1,11.72
1946/5/1,11.2899
1946/6/1,11.9888
1946/7/1,12.392
1946/8/1,12.849
1946/9/1,13.0909
1946/10/1,13.3329
1946/11/1,13.4135
1946/12/1,13.4941
1947/1/1,13.6554
1947/2/1,13.7361
1947/3/1,13.8167
1947/4/1,13.7092
1947/5/1,13.7629
1947/6/1,13.7629
1947/7/1,13.6823
1947/8/1,13.7629
1947/9/1,13.8705
1947/10/1,14.0049
1947/11/1,14.193
1947/12/1,14.2468
1948/1/1,14.3274
1948/2/1,14.3543
1948/3/1,14.1931
1948/4/1,14.2199
1948/5/1,14.4618
1948/6/1,14.65
1948/7/1,14.65
1948/8/1,14.5962
1948/9/1,14.4887
1948/10/1,14.5963
1948/11/1,14.4081
1948/12/1,14.2737
1949/1/1,14.1393
1949/2/1,14.0049
1949/3/1,13.7361
1949/4/1,13.6554
1949/5/1,13.4673
1949/6/1,13.4404
1949/7/1,13.4135
1949/8/1,13.5479
1949/9/1,13.6823
1949/10/1,13.1716
1949/11/1,13.521
1949/12/1,13.7629
1950/1/1,14.0049
1950/2/1,14.0586
1950/3/1,14.5156
1950/4/1,14.9995
1950/5/1,15.3489
1950/6/1,15.8059
1950/7/1,16.3166
1950/8/1,16.8274
1950/9/1,16.7198
1950/10/1,16.8273
1950/11/1,16.8005
1950/12/1,17.0962
1951/1/1,17.1499
1951/2/1,17.2575
1951/3/1,17.3381
1951/4/1,17.365
1951/5/1,17.3112
1951/6/1,17.2306
1951/7/1,16.9618
1951/8/1,16.8005
1951/9/1,16.908
1951/10/1,16.8811
1951/11/1,17.0155
1951/12/1,17.123
1952/1/1,17.3112
1952/2/1,17.4187
1952/3/1,17.4725
1952/4/1,17.3112
1952/5/1,17.1499
1952/6/1,16.9886
1952/7/1,16.7198
1952/8/1,17.7951
1952/9/1,18.4402
1952/10/1,18.6284
1952/11/1,19.0047
1952/12/1,19.1122
1953/1/1,19.166
1953/2/1,19.2735
1953/3/1,19.4348
1953/4/1,19.5154
1953/5/1,19.6229
1953/6/1,19.5423
1953/7/1,19.7842
1953/8/1,19.6767
1953/9/1,19.2735
1953/10/1,19.1122
1953/11/1,18.6553
1953/12/1,18.1983
1954/1/1,18.0639
1954/2/1,18.1176
1954/3/1,18.0101
1954/4/1,17.9026
1954/5/1,18.0101
1954/6/1,18.0639
1954/7/1,18.0907
1954/8/1,18.0639
1954/9/1,18.0908
1954/10/1,18.3058
1954/11/1,18.6015
1954/12/1,18.8434
1955/1/1,19.2735
1955/2/1,19.5154
1955/3/1,19.9724
1955/4/1,20.2143
1955/5/1,20.5369
1955/6/1,20.5638
1955/7/1,20.7251
1955/8/1,20.6982
1955/9/1,20.8326
1955/10/1,21.182
1955/11/1,21.2358
1955/12/1,21.3164
1956/1/1,21.4508
1956/2/1,21.2627
1956/3/1,21.2627
1956/4/1,21.424
1956/5/1,21.2358
1956/6/1,21.0476
