DATE,,,Unexp R
2004/12/1,,,-0.009850806
2005/1/1,,,-0.026091052
2005/2/1,,,-0.019586149
2005/3/1,,,-0.020955037
2005/4/1,,,-0.024497593
2005/5/1,,,-0.022877537
2005/6/1,,,-0.024363651
2005/7/1,,,-0.021167532
2005/8/1,,,-0.021771388
2005/9/1,,,-0.017912257
2005/10/1,,,-0.031942662
2005/11/1,,,-0.027901342
2005/12/1,,,-0.034957321
2006/1/1,,,-0.02098829
2006/2/1,,,-0.02353908
2006/3/1,,,-0.014351989
2006/4/1,,,-0.029812665
2006/5/1,,,-0.025350632
2006/6/1,,,-0.028603203
2006/7/1,,,-0.030297311
2006/8/1,,,-0.028724707
2006/9/1,,,-0.023122792
2006/10/1,,,-0.026667633
2006/11/1,,,-0.019428554
2006/12/1,,,-0.018609152
2007/1/1,,,-0.03208751
2007/2/1,,,-0.025568628
2007/3/1,,,-0.031068618
2007/4/1,,,-0.028752173
2007/5/1,,,-0.033832252
2007/6/1,,,-0.03332968
2007/7/1,,,-0.024289348
2007/8/1,,,-0.024409226
2007/9/1,,,-0.030346201
2007/10/1,,,-0.027175263
2007/11/1,,,-0.018476631
2007/12/1,,,-0.033893503
2008/1/1,,,-0.029543415
2008/2/1,,,-0.03316645
2008/3/1,,,-0.01969906
2008/4/1,,,-0.025130776
2008/5/1,,,-0.024662888
2008/6/1,,,-0.022572452
2008/7/1,,,-0.031751032
2008/8/1,,,-0.035815063
2008/9/1,,,-0.025496857
2008/10/1,,,-0.004923944
2008/11/1,,,-0.000373563
2008/12/1,,,-0.010412893
2009/1/1,,,-0.008121674
2009/2/1,,,-0.004314653
2009/3/1,,,0.007769263
2009/4/1,,,-0.026795895
2009/5/1,,,-0.012316769
2009/6/1,,,-0.00876585
2009/7/1,,,-0.018728386
2009/8/1,,,-0.024126578
2009/9/1,,,-0.029266149
2009/10/1,,,-0.012393986
2009/11/1,,,-0.01810955
2009/12/1,,,-0.020029042
2010/1/1,,,-0.01357308
2010/2/1,,,-0.01937161
2010/3/1,,,-0.022641162
2010/4/1,,,-0.007642008
2010/5/1,,,-0.016404797
2010/6/1,,,-0.014346607
2010/7/1,,,-0.010339007
2010/8/1,,,-0.015783064
2010/9/1,,,-0.00783024
2010/10/1,,,-0.017707941
2010/11/1,,,-0.015148239
2010/12/1,,,-0.01151408
2011/1/1,,,-0.016519298
2011/2/1,,,-0.020342987
2011/3/1,,,-0.020883632
2011/4/1,,,-0.020093128
2011/5/1,,,-0.026993654
2011/6/1,,,-0.02164597
2011/7/1,,,-0.025966037
2011/8/1,,,-0.011000827
2011/9/1,,,-0.009420899
2011/10/1,,,-0.018504477
2011/11/1,,,-0.014877231
2011/12/1,,,-0.017935257
