DATE,1-year_r
1999/12/1,1.844043
2000/1/1,2.6534989
2000/2/1,2.6396214
2000/3/1,2.65931
2000/4/1,2.895699
2000/5/1,2.788998
2000/6/1,1.9782496
2000/7/1,3.3533364
2000/8/1,3.2388842
2000/9/1,3.0037547
2000/10/1,3.0465728
2000/11/1,2.7562754
2000/12/1,2.3188388
2001/1/1,3.1255613
2001/2/1,2.8342522
2001/3/1,3.6173011
2001/4/1,2.3977764
2001/5/1,1.8632221
2001/6/1,1.4453971
2001/7/1,1.692817
2001/8/1,1.5937315
2001/9/1,0.25169635
2001/10/1,1.0254736
2001/11/1,1.0557458
2001/12/1,-0.19812037
2002/1/1,0.7873759
2002/2/1,0.85551172
2002/3/1,1.0803957
2002/4/1,0.53216094
2002/5/1,0.1082215
2002/6/1,0.44413012
2002/7/1,0.25558851
2002/8/1,0.18227988
2002/9/1,-0.01541029
2002/10/1,-0.19993985
2002/11/1,-0.27816716
2002/12/1,-0.06171805
2003/1/1,-0.19006412
2003/2/1,-0.18728049
2003/3/1,-0.17478652
2003/4/1,-0.10768997
2003/5/1,0.08037008
2003/6/1,-1.2220189
2003/7/1,-0.09244847
2003/8/1,0.09684109
2003/9/1,0.05638458
2003/10/1,-0.19647062
2003/11/1,-0.16354861
2003/12/1,-0.60214837
2004/1/1,-0.13765171
2004/2/1,-0.40138788
2004/3/1,-0.06433799
2004/4/1,-0.41226559
2004/5/1,-0.50688531
2004/6/1,-0.99233744
2004/7/1,-0.44661319
2004/8/1,-0.49146606
2004/9/1,-1.3323849
2004/10/1,-0.21069296
2004/11/1,-0.0437757
2004/12/1,1.1770015
2005/1/1,0.34105223
2005/2/1,0.53033359
2005/3/1,0.58317037
2005/4/1,0.48126552
2005/5/1,0.66765132
2005/6/1,0.82656544
2005/7/1,1.091236
2005/8/1,1.271347
2005/9/1,1.9752641
2005/10/1,1.1813055
2005/11/1,1.2722723
2005/12/1,0.86637481
2006/1/1,2.0226777
2006/2/1,2.1201459
2006/3/1,3.246409
2006/4/1,2.0911709
2006/5/1,2.2952525
2006/6/1,2.3841245
2006/7/1,2.1645871
2006/8/1,2.153258
2006/9/1,2.7697787
2006/10/1,2.8277534
2006/11/1,3.3534887
2006/12/1,3.4453264
2007/1/1,2.294261
2007/2/1,2.4827834
2007/3/1,2.0810997
2007/4/1,2.0617647
2007/5/1,1.4530358
2007/6/1,1.0868654
2007/7/1,1.9074841
2007/8/1,2.1308389
2007/9/1,1.8061964
2007/10/1,1.7092106
2007/11/1,2.1927741
2007/12/1,1.4931414
2008/1/1,1.1205579
2008/2/1,0.29817483
2008/3/1,0.63290718
2008/4/1,0.06574427
2008/5/1,-0.38171377
2008/6/1,-0.36084469
2008/7/1,-0.81728214
2008/8/1,-1.4738705
2008/9/1,-1.016002
2008/10/1,1.1947825
2008/11/1,2.7838687
2008/12/1,2.5489929
2009/1/1,2.0270346
2009/2/1,2.0787439
2009/3/1,3.2452505
2009/4/1,0.06938378
2009/5/1,0.06749577
2009/6/1,0.48903207
2009/7/1,-0.10306189
2009/8/1,-0.96508483
2009/9/1,-1.8867063
2009/10/1,-0.80983562
2009/11/1,-1.0056144
2009/12/1,-1.2196567
2010/1/1,-0.81215137
2010/2/1,-1.0673252
2010/3/1,-1.6183063
2010/4/1,-0.44425119
2010/5/1,-0.50458009
2010/6/1,-0.38416424
2010/7/1,-0.07004565
2010/8/1,-0.68622794
2010/9/1,-0.13733499
2010/10/1,-1.0022379
2010/11/1,-1.1654831
2010/12/1,-0.93692711
2011/1/1,-1.1089811
2011/2/1,-1.373086
2011/3/1,-1.5335463
2011/4/1,-1.4687821
2011/5/1,-2.1228984
2011/6/1,-2.0438566
2011/7/1,-2.5660386
2011/8/1,-1.2961883
2011/9/1,-0.74655287
2011/10/1,-1.5956564
2011/11/1,-1.6411563
2011/12/1,-1.9541367
2012/1/1,-1.5949972
2012/2/1,-1.662549
2012/3/1,-1.3275764
2012/4/1,-1.873893
2012/5/1,-1.2500145
2012/6/1,-0.35978255
2012/7/1,-1.2109077
2012/8/1,-1.1657948
2012/9/1,-2.1246725
2012/10/1,-1.6792467
2012/11/1,-1.5182398
2012/12/1,-2.4897123
2013/1/1,-1.1161637
2013/2/1,-0.94603683
2013/3/1,0.4888702
2013/4/1,-0.77068502
2013/5/1,-0.51296752
2013/6/1,-0.68342236
2013/7/1,-0.16887147
2013/8/1,-1.573045
2013/9/1,-1.3560346
2013/10/1,-1.0756253
2013/11/1,-1.0172945
2013/12/1,-1.9145737
2014/1/1,-1.3452525
2014/2/1,-1.4015135
2014/3/1,-0.87407667
2014/4/1,-1.3215843
2014/5/1,-1.5203879
2014/6/1,-1.1902893
2014/7/1,-1.7835622
2014/8/1,-1.3198803
2014/9/1,-1.9720523
2014/10/1,-1.1100793
2014/11/1,-0.34990728
2014/12/1,-2.5032918
2015/1/1,1.1239749
2015/2/1,1.5423693
2015/3/1,0.91614976
2015/4/1,-0.83404213
2015/5/1,-0.98806997
2015/6/1,-1.18205955
2015/7/1,-1.264703
2015/8/1,-1.3028805
2015/9/1,-1.7461364
2015/10/1,-0.84535881
2015/11/1,-0.73988133
2015/12/1,-0.72996474
2016/1/1,-0.8721907
2016/2/1,-0.21080726
2016/3/1,0.20280334
2016/4/1,-1.18731654
2016/5/1,-1.1736869
2016/6/1,-0.55190959
2016/7/1,-1.50103723
2016/8/1,-1.41616467
2016/9/1,-2.20417488
2016/10/1,-1.65360405
2016/11/1,-1.88065568
2016/12/1,-2.25275783
2017/1/1,-1.37086914
2017/2/1,-1.18188446
2017/3/1,-0.15871639
2017/4/1,-0.56455297
2017/5/1,-0.40602435
2017/6/1,0.68431521
2017/7/1,-0.44468298
2017/8/1,-0.37064119
2017/9/1,-1.01705756
2017/10/1,-0.83785636
2017/11/1,-0.98384247
2017/12/1,-2.81708626
2018/1/1,-0.7772657
2018/2/1,-0.83055203
2018/3/1,1.34333197
2018/4/1,0.77551332
2018/5/1,0.43880137
2018/6/1,0.75638472
